Station,Lat,Lon,Height,X,Y,Z,TPI,ASPECT,SLOPE,STD,D_WE,D_SN,cluster
ALT,46.88706944,8.621894444,437.86,2690180.867,1193563.048,438.5874939,-2.120819092,240.8035889,1.324230909,0.0,0.020179443,0.011276245,0
ANT,46.63091389,8.580552778,1434.52,2687444.667,1165043.164,1437.832764,-68.60009766,100.2216797,4.601401329,84.19794799,-0.079205319,0.014282227,0
DIS,46.70656944,8.853477778,1197.05,2708190.79,1173792.675,1197.570313,-67.5904541,145.1864471,16.77257156,171.27823,-0.172069088,0.247449949,0
ENG,46.82163889,8.410513889,1035.66,2674161.731,1186068.538,1037.838989,-76.77185059,179.0625916,10.63246346,129.0605055,-0.003071289,0.187706292,0
GIH,46.84944722,8.190225,471.0,2657323.018,1188975.26,470.453125,-4.498199463,7.409988403,0.590827882,0.0,-0.001329956,-0.010226135,0
GRH,46.57168889,8.333255556,1980.0,2668583.315,1158214.065,1959.118774,-12.51342773,324.8927917,8.128306389,112.926039,0.082139894,-0.116842039,0
GUE,46.652475,8.615530556,2286.0,2690087.021,1167479.339,2282.651611,122.3295898,196.5568695,9.896512985,124.3762453,0.049716797,0.167231441,0
INT,46.67203333,7.87045,577.78,2633042.85,1169069.098,578.1640625,-12.22412109,332.0831909,2.358077049,23.84984008,0.019279785,-0.036387328,0
LUZ,47.03643889,8.301022222,454.32,2665544.687,1209848.862,454.8453064,-11.87124634,119.283638,0.799547732,7.382398278,-0.012172241,0.006826172,0
MER,46.73222222,8.169247222,588.6,2655844.391,1175929.044,588.7468872,-24.81054688,220.9761505,3.354110479,54.8921798,0.038431395,0.044247437,0
NAP,47.00466667,7.940116667,1403.98,2638137.689,1206078.498,1398.034424,200.7550049,343.3831787,2.336841583,78.36384089,0.011669922,-0.039104003,0
PIL,46.97886944,8.252255556,2105.44,2661904.727,1203409.53,2080.82959,341.4804688,4.451278687,11.51789188,180.7861137,-0.015815429,-0.203162849,0
PIO,46.51481111,8.688038889,990.0,2695880.495,1152263.575,990.0797119,-132.4088135,185.2012329,10.1744585,151.9953642,0.016269531,0.178729251,0
ROE,46.44306667,8.513388889,1898.0,2682587.771,1144090.339,1894.723511,-123.4592285,145.2463684,10.49284267,140.5044445,-0.105578616,0.152170405,0
ULR,46.50488056,8.308236111,1345.87,2666747.632,1150766.179,1346.368774,-59.02001953,333.8182678,0.359989017,63.89197944,0.002772217,-0.005638428,0
BEH,46.40915833,10.01956667,2260.0,2798422.464,1143019.541,2259.375,-19.75268555,235.1011353,2.317760468,32.69770169,0.033195801,0.023156738,1
BUF,46.64840833,10.2672,1971.0,2816493.808,1170254.949,1974.661011,-81.28601074,184.8618927,4.394752502,83.87079798,0.006513672,0.076577149,1
COV,46.41803889,9.821308333,3294.31,2783155.237,1143524.035,3272.945313,232.5126953,331.5518188,12.47207451,165.2192235,0.105363771,-0.194475099,1
ROB,46.34721667,10.06303056,1078.0,2801993.071,1136248.55,1078.628174,-139.7818604,157.9127197,3.872657061,118.5212391,-0.025454102,0.062725827,1
SAM,46.52624722,9.879469444,1708.51,2787250.394,1155684.636,1708.951538,-23.01025391,283.8555908,5.04944849,38.89490676,0.085787356,-0.021159668,1
SCU,46.793275,10.28326667,1303.93,2817139.113,1186393.205,1299.371948,-48.58483887,140.3864136,11.02260113,126.2813314,-0.124199219,0.150058597,1
SIA,46.43233056,9.762325,1804.0,2778575.496,1144976.049,1805.911011,-28.01538086,153.4120789,1.018918991,33.27350771,-0.007960205,0.01590454,1
SMM,46.60225556,10.42631389,1386.2,2828861.741,1165579.542,1387.579712,-53.29882813,341.3721313,5.103180885,73.26161756,0.02852539,-0.084625244,1
VIO,46.35301944,9.6278,1089.0,2768486.04,1135865.497,1088.668823,-96.88476563,216.8057251,3.666785717,118.6276758,0.038393553,0.051311035,1
ABO,46.49170278,7.560702778,1321.38,2609371.617,1148939.073,1317.771851,-53.30334473,124.8631287,11.5296669,120.9402617,-0.167379156,0.116605222,2
BLA,46.42045278,7.823194444,1538.0,2629563.669,1141083.519,1538.492188,-169.3221436,296.364502,4.64570713,143.3389993,0.072808839,-0.036086425,2
BOL,46.62351944,7.384205556,820.0,2595830.983,1163586.883,819.5249634,-104.7935791,289.7939148,1.795556903,104.6211095,0.029496459,-0.010615844,2
CHD,46.47981944,7.139655556,1028.0,2577039.738,1147654.929,1024.518677,-54.08361816,177.7327881,10.16053867,88.22894772,-0.007089844,0.179077148,2
EVI,46.18295278,7.026747222,482.0,2568195.349,1114693.533,476.1828003,-20.79086304,195.7053986,0.919624388,46.83839127,0.004345093,0.015452576,2
EVO,46.11221111,7.508630556,1825.0,2605410.814,1106747.888,1826.714111,36.65246582,231.7571106,23.94061661,243.9955507,0.348704845,0.274826646,2
GSB,45.86909167,7.170683333,2472.0,2579189.612,1079754.321,2472.646973,-68.60595703,182.1060944,2.666311979,130.3148629,0.001711426,0.046538085,2
MTE,46.14789722,7.624033333,1580.0,2614323.884,1110729.392,1580.581299,-246.6217041,258.8446045,4.51634407,185.2940971,0.077496335,0.015281983,2
MVE,46.29880556,7.460813889,1422.86,2601708.227,1127488.654,1422.550049,23.01586914,203.1105347,5.647050858,30.2782008,0.038811035,0.090944827,2
SIM,46.196825,8.056336111,1465.0,2647682.413,1116339.005,1462.273438,-127.2792969,121.3111572,4.253354549,115.7874855,-0.063540041,0.038649902,2
SIO,46.21865,7.330202778,482.0,2591632.101,1118583.797,481.3859253,-6.799377441,186.485199,0.701874435,0.0,0.001383667,0.012172241,2
VIS,46.3029,7.842958333,639.43,2631150.302,1128023.547,639.703125,-42.38757324,219.0215149,0.318369418,70.41413531,0.003498535,0.004317017,2
ZER,46.02927222,7.752433333,1638.35,2624297.266,1097573.837,1645.671875,-173.1876221,126.072998,15.39873695,213.2520854,-0.22261475,0.162172854,2
AIG,46.32664722,6.924472222,381.02,2560403.264,1130713.774,381.1000061,-0.256347656,301.1371155,0.13478601,0.0,0.00201355,-0.001216431,3
BIE,46.52490833,6.342386111,683.636,2515886.928,1153212.271,680.0718994,9.757202148,142.5551453,1.2920295,0.0,-0.013712768,0.017906494,3
CGI,46.40105278,6.227722222,458.2,2506876.891,1139575.04,455.6109619,8.75994873,132.0596008,1.435735583,0.0,-0.018608399,0.016790161,3
DOL,46.42479444,6.099452778,1669.75,2497058.645,1142374.437,1662.671875,164.0299072,97.48047638,1.080779195,57.0263914,-0.018704833,0.002456055,3
FRE,46.84062222,6.576369444,1205.43,2534225.517,1188082.616,1204.095337,81.59912109,150.7480774,11.27724171,111.141604,-0.097440183,0.173978269,3
GVE,46.24751944,6.127741667,410.88,2498903.238,1122633.632,408.546875,-5.048217773,23.48426819,0.687448263,0.0,-0.004781494,-0.011004943,3
MAH,46.73697778,6.567983333,435.28,2533457.757,1176568.454,436.5359497,0.430450439,24.09803772,0.091559127,0.0,-0.000652466,-0.00145874,3
MLS,46.54619722,7.017752778,1974.34,2567718.114,1155076.829,1965.053101,322.2026367,100.4967728,8.812047005,163.411207,-0.152429193,0.028242188,3
ORO,46.57226944,6.858238889,828.3,2555505.131,1158053.359,827.0593872,41.58691406,201.9762573,2.481844425,20.28510272,0.016220093,0.04019409,3
PUY,46.51228333,6.667516667,455.61,2540818.659,1151511.488,457.4484253,-2.790466309,193.1014404,5.906571865,52.15593924,0.023450928,0.100762941,3
BAS,47.54114167,7.583525,316.172,2610909.645,1265611.783,313.6531372,16.28012085,0.202575684,2.056500196,14.98992874,-0.000126953,-0.035907898,4
BEZ,47.55725556,8.233325,325.57,2659813.443,1267695.929,322.5546875,-17.09848022,87.45602417,1.155255795,2.175488176,-0.020145874,-0.000895081,4
BUS,47.38438056,8.07955,386.66,2648396.732,1248369.552,386.7796936,-2.752746582,5.351226807,0.595254123,0.0,-0.000968933,-0.010344238,4
GOE,47.36314722,7.973733333,380.49,2640422.659,1245949.013,380.1265564,-2.358551025,169.1210022,0.660154998,0.0,-0.002174683,0.011315308,4
LEI,47.59736111,8.1882,341.08,2656374.631,1272121.638,341.03125,-5.101501465,312.9064331,2.188002348,15.05959,0.027984925,-0.026011048,4
MOA,47.24384722,8.232830556,453.04,2660128.781,1232851.634,452.1734619,-7.674133301,57.24610138,0.960122168,0.0,-0.014094238,-0.009067077,4
