RUN_NAME,模型,缺失模式,缺失率,参数量,超参数范围,最优超参数,epochs,batch size,window size,train 范围,train rmse,val 范围,val rmse,test 范围,test rmse,训练耗时,推理耗时,额外测试范围,额外测试 rmse,额外推理耗时
xlx,mymodel,mcar,0.1000,108945.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 64, ""nhead"": 4, ""num_layers"": 1, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.3097,2023-02-01 to 2023-02-28,2.5713,2023-03-01 to 2023-03-31,2.9060,74.9491,2.6246,2023-03-01 to 2023-03-31,3.0747,1.2290
xlx,mymodel,mcar,0.3000,1208085.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 128, ""nhead"": 2, ""num_layers"": 3, ""l_lags"": 2}",2,64,144,2023-01-01 to 2023-01-31,3.2227,2023-02-01 to 2023-02-28,2.3740,2023-03-01 to 2023-03-31,2.6620,75.2793,6.2008,2023-03-01 to 2023-03-31,2.9166,1.2281
xlx,mymodel,mcar,0.5000,208913.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 64, ""nhead"": 8, ""num_layers"": 2, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.1017,2023-02-01 to 2023-02-28,2.2281,2023-03-01 to 2023-03-31,2.4409,99.8486,5.4823,2023-03-01 to 2023-03-31,3.1669,1.2600
xlx,mymodel,mcar,0.7000,309141.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 64, ""nhead"": 2, ""num_layers"": 3, ""l_lags"": 2}",2,64,144,2023-01-01 to 2023-01-31,2.8596,2023-02-01 to 2023-02-28,1.9441,2023-03-01 to 2023-03-31,2.0421,81.1331,4.1090,2023-03-01 to 2023-03-31,2.8073,1.2319
xlx,mymodel,seq,0.1000,1207569.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 128, ""nhead"": 4, ""num_layers"": 3, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.4876,2023-02-01 to 2023-02-28,2.3932,2023-03-01 to 2023-03-31,2.3958,180.0267,6.8454,2023-03-01 to 2023-03-31,5.3418,1.2299
xlx,mymodel,seq,0.3000,209433.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 64, ""nhead"": 4, ""num_layers"": 2, ""l_lags"": 3}",2,64,144,2023-01-01 to 2023-01-31,3.6567,2023-02-01 to 2023-02-28,3.6333,2023-03-01 to 2023-03-31,3.4660,74.1962,4.4675,2023-03-01 to 2023-03-31,6.3113,1.2648
xlx,mymodel,seq,0.5000,208913.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 64, ""nhead"": 2, ""num_layers"": 2, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.6180,2023-02-01 to 2023-02-28,3.2213,2023-03-01 to 2023-03-31,2.9814,78.7108,3.3670,2023-03-01 to 2023-03-31,4.8399,1.2279
xlx,mymodel,seq,0.7000,414481.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 128, ""nhead"": 4, ""num_layers"": 1, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.6425,2023-02-01 to 2023-02-28,3.0436,2023-03-01 to 2023-03-31,2.8969,69.5645,3.3616,2023-03-01 to 2023-03-31,5.3955,1.2499
xlx,mymodel,scm,0.1000,1208085.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 128, ""nhead"": 8, ""num_layers"": 3, ""l_lags"": 2}",2,64,144,2023-01-01 to 2023-01-31,3.2567,2023-02-01 to 2023-02-28,2.4684,2023-03-01 to 2023-03-31,2.3540,632.2509,8.9016,2023-03-01 to 2023-03-31,5.1284,1.2374
xlx,mymodel,scm,0.3000,414481.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 128, ""nhead"": 8, ""num_layers"": 1, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.3203,2023-02-01 to 2023-02-28,2.3772,2023-03-01 to 2023-03-31,2.1847,78.5068,3.8394,2023-03-01 to 2023-03-31,5.5520,1.2343
xlx,mymodel,scm,0.5000,208913.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 64, ""nhead"": 2, ""num_layers"": 2, ""l_lags"": 1}",2,64,144,2023-01-01 to 2023-01-31,3.2847,2023-02-01 to 2023-02-28,2.4527,2023-03-01 to 2023-03-31,2.3065,90.7741,3.0834,2023-03-01 to 2023-03-31,5.5700,1.2346
xlx,mymodel,scm,0.7000,1209117.0000,"{'d_model': [64, 128], 'nhead': [2, 4, 8], 'num_layers': range(1, 4), 'l_lags': range(1, 5)}","{""d_model"": 128, ""nhead"": 2, ""num_layers"": 3, ""l_lags"": 4}",2,64,144,2023-01-01 to 2023-01-31,2.8340,2023-02-01 to 2023-02-28,2.2196,2023-03-01 to 2023-03-31,2.3118,89.1519,6.9242,2023-03-01 to 2023-03-31,3.1913,1.2311
xlx,locf,mcar,0.1000,0.0000,,,2,64,144,2023-01-01 to 2023-01-31,3.5537,2023-02-01 to 2023-02-28,3.1767,2023-03-01 to 2023-03-31,3.6348,0.0000,0.0134,2023-03-01 to 2023-03-31,3.1032,0.0137
xlx,locf,mcar,0.3000,0.0000,,,2,64,144,2023-01-01 to 2023-01-31,3.7339,2023-02-01 to 2023-02-28,3.2710,2023-03-01 to 2023-03-31,3.7273,0.0000,0.0151,2023-03-01 to 2023-03-31,3.2833,0.0149
xlx,locf,mcar,0.5000,0.0000,,,2,64,144,2023-01-01 to 2023-01-31,3.8166,2023-02-01 to 2023-02-28,3.3897,2023-03-01 to 2023-03-31,3.8433,0.0000,0.0187,2023-03-01 to 2023-03-31,3.3648,0.0160
xlx,locf,mcar,0.7000,0.0000,,,2,64,144,2023-01-01 to 2023-01-31,3.8992,2023-02-01 to 2023-02-28,3.4656,2023-03-01 to 2023-03-31,4.0066,0.0000,0.0154,2023-03-01 to 2023-03-31,3.4955,0.0157
xlx,locf,seq,0.1000,0.0000,,,2,64,144,2023-01-01 to 2023-01-31,3.5772,2023-02-01 to 2023-02-28,3.1707,2023-03-01 to 2023-03-31,3.6417,0.0000,0.0170,2023-03-01 to 2023-03-31,3.1048,0.0116
